id_recepta,kategorija

1,Dinner

1, Lunch

1, Meal Prep

2,Dinner

3,Dinner

3, Lunch

3, Salad

4,Breakfast

4, Brunch

4, Snack

5,Lunch

5, Salad

5, Side Dish

6,Dinner

7,Side Dish

8,Breakfast

9,Appetizer

9, Dinner

10,Lunch

11,Dinner

12,Breakfast

13,Dessert

14,Breakfast

14, Brunch

14, Dinner

14, Lunch

15,Lunch

15, Meal Prep

15, Salad

16,Appetizer

16, Breakfast

16, Brunch

16, Lunch

16, Snack

17,Lunch

17, Salad

18,Dinner

18, Lunch

19,Appetizer

19, Side Dish

20,Dinner

21,Breakfast

21, Brunch

22,Dinner

22, Lunch

23,Dinner

23, Lunch

23, Soup

24,Appetizer

25,Lunch

25, Salad

26,Dinner

27,Dinner

28,Dinner

29,Dinner

30,Breakfast

30, Meal Prep

31,Dinner

31, Soup

32,Dinner

33,Dinner

33, Lunch

34,Dinner

34, Soup

35,Soup

36,Dinner

36, Lunch

36, Meal Prep

37,Dinner

38,Dinner

39,Dinner

40,Dinner

41,Breakfast

41, Brunch

41, Meal Prep

42,Appetizer

43,Dessert

43, Snack

44,Appetizer

45,Dinner

45, Lunch

46,Appetizer

46, Dinner

46, Lunch

47,Lunch

47, Salad

48,Dinner

49,Dinner

49, Lunch

50,Dinner

50, Lunch

50, Soup

51,Appetizer

52,Salad

52, Side Dish

53,Dinner

53, Lunch

54,Dinner

54, Side Dish

55,Breakfast

56,Dinner

57,Dinner

57, Lunch

57, Meal Prep

58,Dinner

58, Lunch

58, Soup

59,Salad

60,Side Dish

61,Dinner

62,Dinner

62, Lunch

62, Soup

63,Breakfast

64,Dinner

65,Dinner

65, Lunch

66,Dinner

67,Dinner

67, Lunch

67, Salad

68,Dinner

68, Lunch

69,Dinner

69, Lunch

69, Meal Prep

70,Appetizer

70, Dip

71,Appetizer

72,Breakfast

72, Brunch

73,Breakfast

73, Brunch

73, Meal Prep

74,Dinner

75,cookies

75, Dessert

76,Appetizer

76, Dinner

76, Lunch

77,Dinner

78,Appetizer

78, Dinner

78, Side Dish

79,Dinner

80,Breakfast

80, Brunch

81,Lunch

81, Side Dish

82,Dip

83,Dinner

84,Appetizer

85,Side Dish

86,Breakfast

87,Appetizer

87, Dinner

88,Side Dish

89,Dinner

90,Breakfast

91,Dinner

91, Lunch

91, Soup

92,Dinner

92, Side Dish

93,Salad

94,Dinner

95,Side Dish

95, thanksgiving side dish

96,Side Dish

97,Side Dish

98,Side Dish

99,Breakfast

100,Dinner

100, Soup

101,Dinner

101, Lunch

101, Meal Prep

101, School Lunch

101, Snack

102,Side Dish

103,Sauce

104,Dinner

105,Dinner

106,Appetizer

106, Snack

107,Side Dish

108,Dinner

108, Lunch

109,Breakfast

110,Breakfast

110, Brunch

111,Dinner

111, Soup

112,Dinner

112, Lunch

113,Dinner

114,Dinner

115,Dinner

115, Lunch

115, Salad

115, Side Dish

116,Appetizer

116, Lunch

116, School Lunch

116, Snack

117,Dinner

118,Appetizer

119,Side Dish

120,main dish

120, Side Dish

121,Side Dish

122,Dinner

123,Breakfast

123, Brunch

123, Snack

124,Breakfast

124, Brunch

125,Salad

126,Dinner

126, Soup

127,Dinner

127, Lunch

128,Breakfast

128, Brunch

129,Dinner

129, Lunch

130,Breakfast

130, Brunch

131,Dinner

132,Side Dish

133,Breakfast

134,Dinner

134, Lunch

134, Soup

135,Dinner

136,Breakfast

136, Brunch

136, Lunch

137,Dinner

138,Breakfast

138, Snack

139,Dinner

139, Lunch

140,Dinner

140, Soup

141,Appetizer

141, Side Dish

142,Dinner

142, Lunch

143,Side Dish

144,Breakfast

144, Brunch

144, Lunch

145,Breakfast

145, Brunch

146,Soup

147,Appetizer

147, Dinner

147, Lunch

148,BBQ Side dish

148, Side Dish

149,Side Dish

149, Snack

150,Lunch

150, Salad

151,Appetizer

151, Dinner

151, Lunch

151, School Lunch

152,Dinner

152, Side Dish

153,Breakfast

153, Snack

154,Dinner

155,Dinner

155, Lunch

156,Dinner

157,Breakfast

158,Side Dish

159,condiment

160,Dinner

161,Dinner

162,Appetizer

162, Dip

162, Salad

162, Side Dish

163,Dip

164,Dinner

164, Lunch

164, Side Dish

165,Salad

165, Side Dish

166,Dinner

166, Lunch

167,Dinner

168,Dinner

169,Breakfast

169, Dessert

169, Snack

170,Lunch

170, Meal Prep

170, Salad

171,Dinner

171, Lunch

171, Salad

172,Lunch

172, Salad

173,Breakfast

173, Meal Prep

173, Snack

174,Dinner

174, Lunch

175,Dinner

175, Lunch

176, Salad

177,Appetizer

177, condiment

177, Snack

178,Dinner

178, Lunch

178, Salad

179,Dinner

179, Lunch

180,Dinner

180, Lunch

180, Meal Prep

180, Salad

181,Breakfast

181, Dessert

181, Snack

