id_recepta,kulinarika

1,American

2,Italian

3,Mexican

4,American

5,American

6,Chinese

7,American

8,Colombian

9,Asian

9, Thai

10,American

11,Cuban

12,American

13,American

14,American

15,Italian-American

16,American

17,American

18,Italian

19,American

20,American

21,American

22,Hawaiian

23,American

24,American

25,American

26,American

27,Filipino

28,Italian-American

29,American

30,American

31,Asian

32,American

33,Asian

34,American

35,American

36,Korean

37,American

37, Asian

38,American

39,Latin

39, Puerto Rican

40,Italian

41,American

42,American

43,American

44,American

45,American

46,Mexican

47,American

48,American

49,Asian

50,Italian

51,American

52,American

53,American

53, Asian

54,Latin

55,American

56,Thai

57,American

58,Greek

59,American

60,American

61,American

61, Italian

62,Russian

62, Ukranian

63,American

64,American

65,American

66,American

67,American

68,Asian

69,American

70,American

71,American

72,American

73,American

74,Italian

75,American

76,American

76, American-Italian

77,American

78,American

79,American

80,American

81,American

82,American

83,Italian

84,American

85,American

86,American

87,Asian

87, Chinese

88,American

89,American

90,American

91,mexican inspired

92,American

93,American

94,American

95,American

96,American

97,American

98,American

99,American

100,American

101,Italian

102,American

103,American

104,Asian

105,American

106,American

107,American

108,American

109,American

110,American

111,American

112,American

113,American

114,American

115,American

116,American

117,Korean

118,Mexican

119,American

120,Latin

121,American

122,American

122, Italian

123,American

124,American

125,American

126,American

127,American

128,American

129,American

129, Mexican

130,American

131,American

132,American

133,American

134,American

135,American

136,American

137,American

137, Mexican

138,American

139,American

140,American

141,American

142,American

143,Latin

144,American

145,American

146,Colombian

146, Latin

147,Asian

148,American

149,Asian

150,American

151,American

152,American

153,American

154,American

155,Italian

156,American

157,American

158,Latin

159,Latin

160,American

161,Italian

162,American

163,Mediterranean

164,American

165,Mexican

166,American

167,Latin

168,American

169,American

170,American

171,American

172,American

173,American

175,American

176,Hawaiian

177,Mexican

178,American

179,Chinese

179, Japanese

180,American

181,American

