id_recepta,st_koraka,korak

1,0,"Place a piece of air fryer parchment in the air fryer basket, or spray with oil."

1,1,"In a medium bowl combine the egg, onion, dill, mayo, mustard and Old Bay spice and mix. Add the salmon and panko and mix to combine."

1,2,"Freeze for 10 minutes, to help the mixture hold together. (If it\u2019s too wet you can add another tablespoon panko)"

1,3,"Form into 6 patties, tightly and transfer to the air fryer basket."

1,4,"Air fry them at 400F 8 to 10 minutes, flipping halfway until golden brown."

1,5,"Serve over a bed of greens, on potato buns or in bowls with a squeeze of lemon over the top. Makes 6 patties."

2,0,Season fish with salt and pepper.\u00a0 Heat the oven to 200F.

2,1,"In a shallow bowl, beat the egg whites. Place the bread crumbs in another dish. Dip each fish filet in the egg whites, then bread crumbs."

2,2,"Heat a large skillet over medium to medium-low heat. Spray a generous amount of olive oil spray on one side of the fish, and lay it in the pan, oil side down. Spray the other side of the fish generously to coat and cook for 4 to 5 minutes on each side, until fish is opaque and cooked through."

2,3,Set aside on a platter in the warm oven until you make the sauce.

2,4,"Over medium heat in the same pan, melt butter, add the lemon juice, wine, chicken broth and the reserved lemon halves, salt, and pepper and bring to a boil."

2,5,"Boil over high heat until the liquid is reduced to half, about 3 - 4 minutes."

2,6,"Discard the lemon halves, add the capers and spoon the sauce over the fish; place a slice of lemon on each filet and top with fresh parsley."

3,0,"Rinse shrimp and chop into large chunks. Toss shrimp with a little salt, chipotle chili pepper, and fresh lime juice."

3,1,"Combine drained beans, corn, red onion, cilantro, lime juice and salt to taste."

3,2,"In a large glass trifle dish or clear bowl, layer salad ingredients starting with the lettuce, black bean mixture, cucumber, tomatoes, avocado, cheese and shrimp on top."

3,3,Serve with your favorite dressing such as Avocado Buttermilk Dressing on the side.

4,0,Preheat oven to 375\u00b0F.\u00a0Set the rack in the center.

4,1,Toss strawberries with 2 tablespoons of the sugar.

4,2,"Place on parchment paper-lined sheet pan in a single layer and roast 25 minutes, until the strawberries release their liquid and caramelize."

4,3,"Meanwhile, line a muffin tin with 12 muffin nonstick liners and spray with oil."

4,4,"Mix almond flour, oat flour, baking powder and baking soda with a whisk in a medium bowl."

4,5,"In a large bowl with a hand mixer, mix and cream the butter and sugar on medium setting for about 2 minutes."

4,6,"In a small bowl, beat the egg whites and vanilla with a whisk, add to bowl with butter\/sugar mixture."

4,7,"Mix in the yogurt, then flour mixture and mix on low speed until combined, 1 minute."

4,8,"With a spatula, fold in the strawberries and spoon to lined muffin tins about 3\/4 filled (I used an ice cream scoop)."

4,9,"Bake at 375F or until a toothpick inserted in the center comes out clean, about 18 to 20 minutes."

4,10,Let cool before eating.

5,0,"In a large bowl, combine the garlic, lime juice, oil, cumin, crushed red pepper, and salt."

5,1,"Add the black beans, chickpeas, tomato, onion and cilantro; mix well."

5,2,"When ready to eat, gently mix in avocado and serve right away."

