id_recepta,ime_recepta,cas_priprave,enota_priprave,cas_kuhanja,enota_kuhanja,st_porcij,kalorije,ogljikovi_hidrati,mascobe,beljakovine
1,Air Fryer Salmon Patties,5,mins,10,mins,3,314.0,9.5,14.5,33.5
2,Flounder Piccata,5,mins,15,mins,4,280.0,14.0,8.0,36.0
3,Mexican Shrimp Cobb Salad,15,mins,0,mins,6,267.5,24.0,9.0,28.0
4,Roasted Strawberry Almond Flour Muffins,30,mins,20,mins,12,164.0,15.5,8.5,6.0
5,Fiesta Bean Salad Recipe,10,mins,0,mins,4,335.0,47.0,11.5,14.0
6,Ground Beef and Broccoli Stir Fry,5,mins,8,mins,4,327.0,26.0,11.0,29.0
7,Roasted Mushrooms with Parmesan,10,mins,20,mins,4,120.0,6.0,9.0,7.0
8,Huevos Pericos,2,mins,5,mins,2,155.0,8.5,7.7,13.9
9,Grilled Chicken Satay with Spicy Peanut Sauce,20,mins,10,mins,4,265.0,8.0,9.0,34.5
10,Open Faced Tuna Sandwich with Avocado,5,mins,2,mins,3,247.0,28.0,8.0,18.0
11,Ropa Vieja (Instant Pot or Dutch Oven),20,mins,1,hr,6,350.0,11.5,15.5,35.0
12,Green Smoothie Bowl,5,mins,0,mins,1,404.0,74.0,10.5,9.0
14,Super Moist Carrot Cake with Cream Cheese Frosting,20,mins,45,mins,16,216.0,32.0,8.0,4.0
16,Super Moist Carrot Cake with Cream Cheese Frosting,20,mins,45,mins,16,216.0,32.0,8.0,4.0
18,Artichoke Pie,10,mins,55,mins,8,229.0,17.0,13.0,12.5
20,Italian Sub Broccoli Salad,15,mins,0,mins,6,373.0,20.0,23.5,21.0
21,Classic Deviled Eggs,10,mins,15,mins,4,96.8,1.0,7.5,6.3
22,Salmon Salad,2,mins,3,mins,3,139.0,2.5,7.0,17.5
23,"Shrimp Parmesan Hero, Lightened Up",5,mins,25,mins,4,433.0,57.5,8.0,29.6
24,How To Make Parmesan Asparagus Fries,15,mins,15,mins,4,110.0,15.0,4.0,7.5
25,Broiled Tilapia Oreganata ,2,mins,8,mins,4,219.0,3.0,7.5,35.0
26,Hash Brown Egg White Nests,15,mins,55,mins,3,134.0,15.0,2.0,13.0
27,Tofu Poke Bowl,10,mins,10,mins,2,520.0,47.0,24.0,29.0
29,Broccoli Cheddar Soup,15,mins,45,mins,6,242.0,24.0,12.5,12.5
30,Baked Salmon Cakes,5,mins,25,mins,15,87.0,8.0,3.0,7.0
31,Chicken Salad Recipe,5,mins,5,mins,6,131.0,2.0,5.0,18.0
32,Turkey Shepherd&#8217;s Pie Loaded Sweet Potato,10,mins,50,mins,4,401.0,50.0,11.0,27.5
33,Filipino Adobo Chicken,10,mins,1,hr,4,175.0,5.0,4.5,27.0
34,Linguini and Shrimp Fra Diavolo,10,mins,20,mins,6,385.0,56.0,5.0,29.5
36,Honey-Mustard Air Fryer Pork Chops ,10,mins,15,mins,4,241.0,12.0,4.5,35.0
37,Tropical Chia Pudding Breakfast Bowl,10,mins,0,mins,2,305.0,35.0,13.0,18.0
38,Short Rib Soup,15,mins,1,hr,5,206.0,10.0,9.5,21.0
39,"Shrimp, Peas and Rice",5,mins,25,mins,4,346.0,36.0,8.0,28.5
40,Honey Sriracha Roasted Salmon Rice Bowls,20,mins,10,mins,4,506.0,48.0,17.5,38.5
41,Wild Mushroom and Farro Soup,15,mins,1,hr,6,331.0,39.0,13.0,14.0
42,Cabbage Soup with Chicken and Pork,10,mins,1,hr,8,217.0,13.0,5.0,26.5
43,"Spicy Gochujang Tofu Bowls (Vegan, Gluten-Free)",10,mins,15,mins,2,473.0,50.0,19.0,26.0
44,Air Fryer Salmon with Maple Soy Glaze,5,mins,8,mins,4,292.0,12.0,11.0,35.0
45,"Chicken Divan, Lightened Up",30,mins,45,mins,6,387.0,22.0,14.5,42.0
46,Air Fryer Breaded Cubed Steak (bistec empanizado),5,mins,20,mins,4,328.0,15.5,14.0,33.0
47,Chicken Tenders Parmesan,5,mins,30,mins,4,376.0,19.0,12.5,45.0
49,"Egg White Muffins with Turkey Bacon, Cottage Cheese, and Veggies",15,mins,35,mins,6,144.0,4.5,4.5,20.0
50,Buffalo Chicken Dip,10,mins,30,mins,9,121.0,4.5,6.5,15.0
51,Chocolate Brownie Date Balls,15,mins,0,mins,8,153.0,26.0,6.5,2.5
52,Baked Buffalo Chicken Jalapeño Poppers,20,mins,25,mins,10,92.0,5.0,5.0,7.0
53,"Buffalo Chicken Lettuce Wraps (Slow Cooker, Instant Pot)",5,mins,4,hrs,6,147.5,5.2,0.1,25.0
54,"Loaded Nachos with Turkey, Beans and Cheese",10,mins,15,mins,4,386.0,45.0,17.5,28.0
55,Air Fryer Egg Salad,5,mins,15,mins,4,237.0,1.0,20.0,12.5
56,Stuffed Buffalo Chicken Breasts,15,mins,30,mins,5,172.0,5.0,5.0,22.0
57,5-Minute Microwave Salmon Rice Bowl,1,min,5,mins,1,533.0,51.0,18.0,48.5
58,Pasta Fagioli (Pasta and Beans),10,mins,25,mins,5,262.5,46.0,4.0,10.0
59,Buffalo Chicken Meatballs,15,mins,20,mins,26,37.0,1.0,2.0,4.0
60,Raw Beet Salad with Apples and Carrots,10,mins,0,mins,4,112.0,13.0,7.0,1.0
61,Teriyaki Shrimp Quinoa Bowls with Mango-Cucumber Salsa,10,mins,30,mins,4,352.0,44.5,10.0,24.0
62,Black Beans and Rice,15,mins,30,mins,8,236.0,46.5,2.0,6.5
64,Air Fryer Breakfast Banana Split,2,mins,5,mins,1,286.0,41.0,9.0,15.0
65,Red Thai Coconut Curry Shrimp,5,mins,10,mins,4,136.0,5.0,5.0,16.0
66,Ground Turkey Skillet with Sweet Potatoes and Black Bean ,5,mins,25,mins,4,394.0,41.0,14.5,28.0
67,Avgolemono Chicken and Rice Soup ,10,mins,45,mins,6,265.0,21.5,6.5,27.5
68,Broccoli Salad,5,mins,10,mins,8,171.0,11.0,11.5,6.5
69,Braised Kale with Pancetta ,5,mins,35,mins,4,115.0,12.0,5.5,6.5
70,White Bean Scampi with Linguine,5,mins,20,mins,4,571.0,93.0,9.5,26.5
71,Borscht,15,mins,30,mins,6,167.0,28.0,5.0,4.5
72,Zoats or Zucchini Oats,5,mins,5,mins,1,441.0,63.0,12.5,24.0
73,Chicken and White Bean Stuffed Peppers,5,mins,40,mins,5,304.0,35.0,6.0,30.0
74,Perfect Air Fryer Shrimp,4,mins,6,mins,4,163.0,2.0,8.0,19.5
75,French Onion Chicken,10,mins,45,mins,4,335.0,16.5,14.5,33.5
76,Salmon Caesar Salad,15,mins,15,mins,4,364.0,6.5,20.0,42.0
77,Spicy Hearts of Palm Noodles with Chicken,5,mins,15,mins,2,275.0,16.5,12.0,26.0
78,Buffalo Chicken Rice Bowls,15,mins,15,mins,4,485.0,47.5,9.5,49.5
79,Whipped Feta Dip  ,15,mins,0,mins,6,155.0,2.5,13.0,7.5
