id_recepta,kolicina,enota,sestavina

1,2,large,eggs

1,1/4,cup,chopped red onion

1,1/4,cup,chopped dill

1,2,tablespoons,mayo

1,2,teaspoon,Dijon mustard

1,1,teaspoon,Old Bay seasoning

1,12,ounces,cooked or canned wild salmon

1,1/2,cup,panko

2,4,fillet,flounder fillet

2,1/2,tbsp,freshly ground black pepper

2,2,large,egg whites

2,2/3,cup,seasoned bread crumbs

2,1,tbsp,olive oil

2,1,tbsp,whipped butter

2,2,large,lemons

2,1/4,cup,dry white wine

2,1/2,cup,chicken broth

2,1,tbsp,capers

2,2,tbsp,chopped fresh parsley

3,16,oz,cooked large shrimp

3,1,tbsp,lime juice

3,6,cups,romaine lettuce

3,15,oz,black beans

3,1,cup,grilled corn kernels

3,2,tbsp,red onion

3,2,tbsp,cilantro

3,1/2,large,lime

3,1,whole,seedless cucumber

3,2,cups,tomato

3,1,whole,avocado

3,1,cup,reduced fat shredded cheese

4,1 1/2,cup,sliced strawberries

4,1/2,cup,sugar

4,1 1/2,cups,almond flour

4,1/4,cup,gluten-free oat flour

4,2,teaspoons,baking powder

4,1/2,tsp,baking soda

4,2 1/2,tablespoons,

4,3,large,egg whites

4,1/2,tablespoons,vanilla extract

4,1,cup,0% Greek yogurt

5,2,cloves,garlic

5,3,tbsp,fresh lime juice

5,1,tbsp,extra virgin olive

5,1,tsp,cumin

5,1/2,teaspoon,salt

5,15,oz,can black beans

5,1,cup,canned chickpeas

5,1,cup,cherry tomatoes

5,1/4,cup,minced red onion

5,1/4,cup,cilantro

6,½,cup,reduced sodium soy sauce

6,1,tablespoon,

6,4,cloves,garlic

6,1,1-inch piece,fresh ginger

6,1,tablespoon,cornstarch

6,½,tablespoon,sesame oil

6,1,pound,ground beef

6,½,medium,yellow onion

6,1,large head,broccoli

6,1,tablespoon,toasted sesame seeds

7,1 ½,pounds,sliced mixed mushrooms

7,2,tablespoons,extra virgin olive oil

7,½,teaspoon,

7,1,tablespoon,thyme

7,¼,cup,Parmesan cheese

8,2,large,eggs

8,3,large,egg whites

8,4,whole,scallions

8,1,large,tomato

8,1,tbsp,olive oil

9,1/2,cup,light coconut milk

9,1,tablespoon,Asian fish sauce

9,2,teaspoons,red curry paste

9,1,teaspoon,brown sugar

9,1,tablespoon,chopped cilantro

9,1/2,teaspoon,ground turmeric

9,1/2,tsp,kosher salt

9,1 1/4,pounds,thin-sliced boneless chicken breast

9,16,large,Bamboo skewers

9,1,tbsp,cilantro

9,1,tbsp,chopped peanuts

9,1/3,cup,low sodium chicken broth

9,2,tbsp,creamy peanut butter

9,1,tbsp,reduced sodium soy sauce

9,2,tsp,honey

9,1,tsp,Sriracha chili sauce

9,1,tsp,freshly grated ginger

10,5,oz can,albacore tuna

10,1/4,cup,carrots

10,1/4,cup,celery

10,1,tbsp,red onion

10,1,tbsp,light mayonnaise

10,1,tsp,red wine vinegar

10,3,slices,multi-grain bread

10,6,thin slices,tomato

10,3,leaves,romanie lettuce

10,1/2,medium,avocado

10,1/2,oz,alfalfa sprouts

11,2,pounds,flank steak

11,2,teaspoons,kosher salt

11,1,packet,Sazon

11,1,teaspoon,dried oregano

11,1,teaspoon,garlic powder

11,1 1/2,teaspoons,cumin

11,1/4,teaspoon,black pepper

11,1/2,cup,tomato paste

11,1/3,cup,dry white wine

11,2 1/2,cups,chicken broth

11,1,teaspoon,olive oil

11,1,large,onion

11,1/2,medium,green bell pepper

11,1/2,medium,red bell pepper

11,4-6,whole,garlic cloves

11,1,large,carrot

11,1/2,cup,olives

11,2,large,bay leaves

11,3,tbsp,cilantro

12,1,cup,frozen mango

12,1,cup,loose baby spinach

12,1,medium,banana

12,1/2,cup,protein milk

12,1/4,cup,yogurt

12,1/3,cup,diced mango

12,1/3,cup,strawberries

12,2,tbsp,unsweetened coconut flakes

14,3/4,cup,all-purpose flour

14,3/4,cup,whole wheat flour

14,1,cup,granulated sugar

14,1/4,cup,flaked sweetened coconut

14,2,tsp,baking soda

14,1,tsp,salt

14,2,tsp,ground cinnamon

14,2,tablespoons,canola oil

14,2,large,eggs

14,1 1/2,tsp,vanilla

14,2,cups,grated carrots

14,20,ounce can,crushed pineapple in juice

14,1/2,cup,chopped walnuts

14,8,oz,1/3 fat Philadelphia Cream Cheese

14,1/4,cup,powdered sugar

14,1,tsp,vanilla extract

16,3/4,cup,all-purpose flour

16,3/4,cup,whole wheat flour

16,1,cup,granulated sugar

16,1/4,cup,flaked sweetened coconut

16,2,tsp,baking soda

16,1,tsp,salt

16,2,tsp,ground cinnamon

16,2,tablespoons,canola oil

16,2,large,eggs

16,1 1/2,tsp,vanilla

16,2,cups,grated carrots

16,20,ounce can,crushed pineapple in juice

16,1/2,cup,chopped walnuts

16,8,oz,1/3 fat Philadelphia Cream Cheese

16,1/4,cup,powdered sugar

16,1,tsp,vanilla extract

18,2,teaspoons,extra virgin olive oil

18,1,large,onion

18,1,9-inch ,frozen pie crust

18,15,oz can,artichoke hearts

18,4,large,eggs

18,1/2,cup,grated parmesan cheese

18,1/4,cup,chopped parsley

18,1 1/3,cups,shredded part-skim mozzarella

20,1/2,small,red onion

20,1,pound,broccoli florets

20,1,cup,cherry tomatoes

20,15-,ounce can,chickpeas

20,3,ounces,fresh mozzarella

20,3,ounces,reduced-fat provolone

20,3,ounces,genoa salami

20,3,ounces,lean deli ham

20,3,ounces,deli turkey

20,½,cup,sliced pepperoncini

20,1/4,cup,extra virgin olive oil

20,1/4,cup,red wine vinegar

20,1 1/2,teaspoons,kosher salt

20,1,teaspoon,dried oregano

20,1/4,teaspoon,freshly ground black pepper

21,4,large,hard boiled eggs

21,2,tablespoon,light mayonnaise

21,1,teaspoon,Dijon mustard

21,2,tablespoons,chopped fresh chives

22,1/2,pound,raw skinless salmon fillet

22,1/3,cup,chopped celery

22,1/4,cup,chopped red onion

22,1/2,medium,lemon

22,1,tbsp,mayonnaise

22,1/4,teaspoon,kosher salt

23,16,oz,jumbo shrimp

23,1/4,cup,egg whites

23,6,tbsp,whole wheat Italian seasoned breadcrumbs

23,2,tbsp,panko crumbs

23,2,tbsp,Parmesan cheese

23,1/2,cup,Marinara or your 

23,1,cup,shredded part skim mozzarella cheese

23,12,ounces,French bread

24,1,pound,asparagus

24,2/3,cup,seasoned panko crumbs

24,2/3,cup,shredded Parmesan cheese

24,2,tablespoons,all-purpose flour

24,2,large,eggs

25,1,tablespoon,finely chopped fresh oregano

25,4,fillet,tilapia fillets

25,1/4,teaspoon,fresh black pepper

25,4,teaspoons,olive oil

25,2,whole,garlic cloves

25,2,tbsp,breadcrumbs

26,1/2,cup,onion

26,1,cup,shredded potatoes

26,1,tsp,garlic powder

26,1,cup,egg whites or egg beaters

26,2,tbsp,onions

26,1/4,cup,bell peppers

26,1,oz,reduced fat Swiss cheese

26,1,oz,turkey ham

27,1,14-ounce package,extra firm tofu

27,¼,cup,reduced sodium soy sauce or gluten free tamari

27,4,whole,garlic cloves

27,3/4,cups,cucumber

27,2,whole,scallions

27,1/2,tbsp,cornstarch

27,1,tablespoon,sesame oil

27,2,cups,mixed greens

27,1,cup,cooked brown rice

27,½,cup,shelled edamame

27,2,ounces,avocado

29,1,small,onion

29,1,medium,carrot

29,1,whole,celery

29,2,whole,garlic cloves

29,2,tablespoons,butter

29,3,tablespoons,flour

29,3,cups,less sodium chicken broth

29,1,cup,fat free milk

29,1/4,teaspoon,kosher salt

29,6,cups,broccoli florets

29,1-1/4,cups,shredded sharp cheddar

29,2,tablespoons,grated Parmesan cheese

30,1/2,pound,wild Alaskan salmon filet

30,1,tbsp,olive oil

30,3/4,cup,small-diced red onion

30,1 1/2,cups,small-diced celery

30,1/2,cup,small-diced red bell pepper

30,1/2,cup,small-diced yellow bell pepper

30,1/4,cup,minced fresh flat-leaf parsley

30,1,tablespoon,capers

30,1/4,tablespoon,hot sauce

30,1 1/2,tsp,Old Bay seasoning

30,1,cup,breadcrumbs

30,3,tablespoon,light mayonnaise

30,3,tablespoon,fat free Greek yogurt

30,1,tablespoon,Dijon mustard

31,12,ounces,cooked chicken breast

31,1/3,cup,light mayonnaise

31,1/2,cup,celery

31,1/3,cup,red onion

31,2,tablespoons,chicken broth

31,1,teaspoon,Dijon

31,1/2,teaspoon,seasoned salt

32,4,small,sweet potato

32,1,pound,ground turkey

32,1,teaspoon,kosher salt

32,1,teaspoon,olive oil

32,1,small,onion

32,1/2,cup,celery

32,2,cloves,garlic

32,4,oz,mushrooms

32,3/4,cup,frozen peas and carrots

32,1,cup,beef broth

32,1,tablespoon,flour

32,1,tablespoon,tomato paste

32,1,teaspoon,Worcestershire sauce

32,1,teaspoon,freshly chopped thyme leaves

33,8,medium,chicken drumstick

33,1/3,cup,low sodium soy sauce

33,1/3,cup,apple cider vinegar

34,12,ounces,"linguini, spaghetti or pasta of choice"

34,3,teaspoons,extra virgin olive oil

34,1 1/2,pounds,jumbo shrimp

34,6-7,cloves,garlic

34,1/4,cup,celery

34,1/2,cup,chopped onion

34,35,ounces,crushed tomatoes

34,1 1/2,teaspoons,crushed red pepper

34,1,tablespoon,capers

36,1/3,cup,Dijon Mustard

36,1,tablespoon,honey

36,4,3/4-inch thick ,pork chops

36,1/2,teaspoon,kosher salt

36,1,cup,panko

37,¼,cup,chia seeds

37,1,cup,unsweetened almond milk

37,1,cup,nonfat plain Greek yogurt

37,1,tablespoon,monk fruit sweetener

37,1,medium,kiwi

37,1,cup,mango

37,2,tablespoons,dried unsweetened coconut

38,5,short,rib

38,8,ounce,shiitake mushrooms

38,1 1/2,inches,ginger

38,5,whole,scallion

38,1/2,bunch,cilantro

38,8,cup,beef broth

38,1,teaspoon,whole black peppercorns

38,3,whole,star anise

38,1,pound,Swiss chard

39,1,tablespoon,unsalted butter

39,2,cups,low sodium chicken broth

39,1/2,cup,frozen peas

39,1,cup,uncooked converted brown rice

39,4,teaspoons,olive oil

39,1-1/4,pounds,peeled and deveined shrimp

39,2,tbsp,Romano cheese

39,1,tbsp,chopped parsley

40,2,tablespoons,honey

40,1,tablespoon,sriracha

40,1,tablespoon,soy sauce

40,2,teaspoons,minced or grated fresh ginger

40,1 1/2,pounds,skinless salmon filets

40,3,whole,Persian cucumbers

40,1 1/2,teaspoon,rice vinegar

40,1,teaspoon,toasted sesame oil

40,½,teaspoon,kosher salt

40,3,cups,cooked rice

40,4,ounces,avocado

41,1,ounce,dried porcini mushrooms

41,3,tablespoons,extra-virgin olive oil

41,4,ounces,Canadian bacon or pancetta

41,2,medium,yellow onion

41,4,medium,carrot

41,4,medium,celery stark

41,4,whole,garlic cloves

41,3/4,cup,uncooked pearled farro

41,1,pound,sliced cremini mushrooms

41,1/2,cup,Marsala wine

41,4,cups,beef broth

41,1 1/2,teaspoons,dried thyme

41,1,teaspoon,kosher salt

41,2,tablespoons,butter

41,2,tablespoons,all-purpose flour

41,1/4,cup,Italian flat-leaf parsley

42,16,ounces,boneless skinless chicken breasts

42,1,pound,country style pork ribs

42,2,large,bay leaves

42,1,large,chicken bouillon

42,1/4,teaspoon,cumin

