ime,kalorije,kjoule,voda,proteini,ogljikovi hidrati,sladkor,mascobe,vlaknine
Adzuki beans cooked,131,548,65.9,7.2,24.8,24.8,0.1,
Agar-agar seaweed dried,365,1526,4.6,6.0,80.0,80.0,0.0,8.4
Alaska pollak raw,75,314,81.5,16.7,0.0,0.0,0.8,0.0
Alfalfa sprouted seeds raw ,43,181,87.9,4.1,3.9,3.9,0.7,2.4
Almond oil,882,3687,0.2,0.0,0.0,0.0,99.8,0.0
Almond paste,445,1860,15.0,10.0,43.5,43.5,24.5,6.0
Almonds,583,2437,10.7,19.5,6.2,6.2,52.0,10.6
Anchovy european raw,102,427,76.6,20.1,0.0,0.0,2.3,0.0
Anise seed,425,1777,4.0,10.0,55.0,55.0,15.0,15.0
Apple cider 5 % v/v,10,42,96.5,0.0,2.5,2.5,0.0,0.0
Apple fresh,54,229,84.3,0.4,12.0,12.0,0.0,2.3
Apple juice bottled unsweetened,42,180,88.4,0.1,10.5,10.5,0.0,0.0
Apple pie Dutch,248,1036,48.5,4.2,35.0,35.0,9.8,1.5
Applesauce canned sweetened,81,341,78.5,0.2,19.2,19.2,0.1,1.0
Apricot canned no skin,74,310,80.3,0.5,17.0,17.0,0.1,1.1
Apricot dried,274,1145,26.9,5.0,58.5,58.5,0.1,8.5
Apricot fresh,60,252,83.4,1.4,11.5,11.5,0.4,2.3
Arachide oil peanut,879,3674,0.5,0.0,0.0,0.0,99.5,0.0
Artichokes harts,46,195,87.3,2.7,7.6,7.6,0.3,1.1
Artichokes raw,52,218,85.5,2.4,9.5,9.5,0.1,1.5
Arugula raw,13,58,95.0,1.3,1.0,1.0,0.2,1.5
Asparagus white canned,22,94,93.3,1.9,3.2,3.2,0.1,0.5
Asparagus white raw,17,73,94.1,1.9,1.3,1.3,0.2,1.5
Avocados raw,188,790,70.4,2.6,1.5,1.5,18.1,6.4
Bacon cured european-style raw,373,1559,47.0,18.0,0.0,0.0,34.0,0.0
Bacon cured grilled,262,1095,60.7,15.8,0.2,0.2,22.3,0.0
Bacon cured raw,399,1668,45.0,15.2,0.4,0.4,37.9,0.5
Bacon pork,882,3687,0.1,0.2,0.0,0.0,99.7,0.0
Bacon raw without skin,329,1375,53.2,16.7,0.0,0.0,29.1,0.0
Bagels plain,313,1308,26.4,10.0,55.0,55.0,5.1,2.5
Baklava Turkish pastry,464,1940,13.4,4.0,55.6,55.6,25.0,1.0
Bamboo shoots raw,28,119,91.6,2.5,3.5,3.5,0.2,1.2
Bananas fresh,86,363,76.8,1.2,18.8,18.8,0.2,2.0
Barley flakes,386,1613,0.9,9.1,77.0,77.0,2.0,10.0
Barley flour,301,1258,26.0,11.0,58.0,58.0,2.0,2.0
Barley raw,333,1392,11.4,11.0,59.5,59.5,2.1,15.0
Basil dried,308,1287,18.1,14.4,44.5,44.5,4.0,18.0
Basil fresh,47,197,86.2,3.0,5.0,5.0,0.8,4.0
Bass freshwater mixed species raw,87,366,80.0,15.0,0.0,0.0,3.0,0.0
Beans butter/green cooked,24,103,89.5,2.5,3.6,3.6,0.0,3.4
Beans butter/green raw,36,152,85.9,2.4,6.0,6.0,0.3,3.5
Beans white cooked,114,480,65.9,7.5,14.5,14.5,0.6,10.5
Beef chuck shoulder tender lean raw,110,461,74.3,22.6,0.0,0.0,2.1,0.0
Beef chunks cooked,198,833,60.0,30.0,0.5,0.5,8.5,0.0
Beef chunks raw,115,483,74.0,22.1,0.0,0.0,2.9,0.0
